Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Address ID,Product ID,Sales,Quantity,Discount,Profit
7981,CA-2022-103800,2022-01-03,2022-01-07,Standard Class,DP-13000,UC-03532,OFF-PA-10000174,16.448,2,0.2,5.5512
742,CA-2022-112326,2022-01-04,2022-01-08,Standard Class,PO-19195,UC-30885,OFF-BI-10004094,3.54,2,0.8,-5.487
741,CA-2022-112326,2022-01-04,2022-01-08,Standard Class,PO-19195,UC-30885,OFF-ST-10002743,272.736,3,0.2,-64.7748
740,CA-2022-112326,2022-01-04,2022-01-08,Standard Class,PO-19195,UC-30885,OFF-LA-10003223,11.784,3,0.2,4.2717
1760,CA-2022-141817,2022-01-05,2022-01-12,Standard Class,MB-18085,UE-57505,OFF-AR-10003478,19.536,3,0.2,4.884
7181,CA-2022-106054,2022-01-06,2022-01-07,First Class,JO-15145,US-65017,OFF-AR-10002399,12.78,3,0,5.2398
5328,CA-2022-130813,2022-01-06,2022-01-08,Second Class,LS-17230,UW-02698,OFF-PA-10002005,19.44,3,0,9.3312
7481,CA-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,US-97729,OFF-PA-10000955,6.54,1,0,3.0084
7480,CA-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,US-97729,OFF-FA-10001883,31.12,4,0,0.3112
7479,CA-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,US-97729,TEC-PH-10004539,755.96,4,0,204.1092
7478,CA-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,US-97729,TEC-PH-10004977,391.98,2,0,113.6742
7477,CA-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,US-97729,OFF-AR-10001662,5.48,2,0,1.4796
7476,CA-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,US-97729,OFF-BI-10004632,609.98,2,0,274.491
7475,CA-2022-167199,2022-01-06,2022-01-10,Standard Class,ME-17320,US-97729,FUR-CH-10004063,2573.82,9,0,746.4078
7662,CA-2022-105417,2022-01-07,2022-01-12,Standard Class,VS-21820,UC-29215,OFF-BI-10003708,10.43,7,0.8,-18.2525
7661,CA-2022-105417,2022-01-07,2022-01-12,Standard Class,VS-21820,UC-29215,FUR-FU-10004864,76.728,3,0.6,-53.7096
594,CA-2022-135405,2022-01-09,2022-01-13,Standard Class,MS-17830,UC-21801,TEC-AC-10001266,31.2,3,0.2,9.75
593,CA-2022-135405,2022-01-09,2022-01-13,Standard Class,MS-17830,UC-21801,OFF-AR-10004078,9.344,2,0.2,1.168
867,CA-2022-149020,2022-01-10,2022-01-15,Standard Class,AJ-10780,US-37198,FUR-FU-10000965,51.94,1,0,21.2954
866,CA-2022-149020,2022-01-10,2022-01-15,Standard Class,AJ-10780,US-37198,OFF-LA-10004272,2.89,1,0,1.3583
717,CA-2022-130092,2022-01-11,2022-01-14,First Class,SV-20365,UE-23277,FUR-FU-10000010,9.94,2,0,3.0814
2979,CA-2022-109232,2022-01-13,2022-01-16,Second Class,ND-18370,US-95442,FUR-CH-10000422,545.94,6,0,87.3504
9630,CA-2022-118192,2022-01-13,2022-01-18,Standard Class,MM-17920,UE-53205,OFF-BI-10003476,3.438,2,0.7,-2.5212
9629,CA-2022-118192,2022-01-13,2022-01-18,Standard Class,MM-17920,UE-53205,OFF-PA-10002947,37.408,7,0.2,13.0928
4940,CA-2022-157147,2022-01-13,2022-01-18,Standard Class,BD-11605,UW-39434,OFF-AR-10003514,19.9,5,0,6.567
4939,CA-2022-157147,2022-01-13,2022-01-18,Standard Class,BD-11605,UW-39434,FUR-BO-10003034,333.999,3,0.15,3.9294
4938,CA-2022-157147,2022-01-13,2022-01-18,Standard Class,BD-11605,UW-39434,OFF-ST-10000078,1325.85,5,0,238.653
768,CA-2022-162775,2022-01-13,2022-01-15,Second Class,CS-12250,US-84059,OFF-ST-10000025,572.58,6,0,34.3548
767,CA-2022-162775,2022-01-13,2022-01-15,Second Class,CS-12250,US-84059,OFF-BI-10004187,5.64,3,0,2.7072
