Address ID,City ,State ,Postal Code,Region ,Country
UC-03532,Houston,Texas,77095,Central,United States
UC-30885,Naperville,Illinois,60540,Central,United States
UE-57505,Philadelphia,Pennsylvania,19143,East,United States
US-65017,Athens,Georgia,30605,South,United States
US-97729,Henderson,Kentucky,42420,South,United States
UW-02698,Los Angeles,California,90049,West,United States
UC-29215,Huntsville,Texas,77340,Central,United States
UC-21801,Laredo,Texas,78041,Central,United States
US-37198,Springfield,Virginia,22153,South,United States
UE-23277,Dover,Delaware,19901,East,United States
US-95442,Mount Pleasant,South Carolina,29464,South,United States
UE-53205,Newark,Ohio,43055,East,United States
US-84059,Bossier City,Louisiana,71111,South,United States
UW-39434,San Francisco,California,94109,West,United States
UE-71826,Philadelphia,Pennsylvania,19140,East,United States
US-93887,Roswell,Georgia,30076,South,United States
UE-42922,Philadelphia,Pennsylvania,19134,East,United States
UW-88119,Springfield,Oregon,97477,West,United States
UW-13402,Scottsdale,Arizona,85254,West,United States
US-94272,Smyrna,Tennessee,37167,South,United States
UC-50332,Westland,Michigan,48185,Central,United States
US-86228,Jonesboro,Arkansas,72401,South,United States
US-79457,Miami,Florida,33180,South,United States
UC-33884,Lafayette,Indiana,47905,Central,United States
UW-06851,Las Vegas,Nevada,89115,West,United States
US-24177,Alexandria,Virginia,22304,South,United States
UC-28568,Rapid City,South Dakota,57701,Central,United States
UW-29468,San Diego,California,92037,West,United States
UE-00616,New York City,New York,10024,East,United States
UC-91269,Detroit,Michigan,48234,Central,United States
UW-89319,Mission Viejo,California,92691,West,United States
UC-56295,Green Bay,Wisconsin,54302,Central,United States
US-26371,Saint Petersburg,Florida,33710,South,United States
UW-34642,Seattle,Washington,98105,West,United States
UW-30138,San Diego,California,92024,West,United States
UW-38762,Escondido,California,92025,West,United States
US-51414,Chesapeake,Virginia,23320,South,United States
UC-19861,Romeoville,Illinois,60441,Central,United States
UE-37148,Linden,New Jersey,7036,East,United States
UW-41671,North Las Vegas,Nevada,89031,West,United States
UC-68158,Columbia,Missouri,65203,Central,United States
UW-92023,Concord,California,94521,West,United States
UW-24866,Seattle,Washington,98103,West,United States
UC-10889,Dallas,Texas,75220,Central,United States
UC-48403,Chicago,Illinois,60653,Central,United States
UC-54218,Arlington,Texas,76017,Central,United States
UC-97554,Lubbock,Texas,79424,Central,United States
UC-43695,Richmond,Indiana,47374,Central,United States
UC-89739,Woodstock,Illinois,60098,Central,United States
UW-02779,Moreno Valley,California,92553,West,United States
UC-42275,El Paso,Texas,79907,Central,United States
UW-95339,Medford,Oregon,97504,West,United States
UE-93433,Columbus,Ohio,43229,East,United States
UE-85573,New York City,New York,10035,East,United States
UC-58645,Elmhurst,Illinois,60126,Central,United States
UC-67023,Houston,Texas,77036,Central,United States
UW-64372,Seattle,Washington,98115,West,United States
UE-51518,New York City,New York,10009,East,United States
UE-16655,Philadelphia,Pennsylvania,19120,East,United States
US-40903,Wilmington,North Carolina,28403,South,United States
US-43393,Columbia,South Carolina,29203,South,United States
US-92433,Margate,Florida,33063,South,United States
UE-00334,Yonkers,New York,10701,East,United States
UW-50141,Des Moines,Washington,98198,West,United States
UC-78649,Royal Oak,Michigan,48073,Central,United States
UW-12282,Denver,Colorado,80219,West,United States
US-98467,Richmond,Kentucky,40475,South,United States
UW-27426,Roseville,California,95661,West,United States
US-71805,Jacksonville,Florida,32216,South,United States
UW-67704,Logan,Utah,84321,West,United States
UW-52174,Huntington Beach,California,92646,West,United States
US-38924,Tampa,Florida,33614,South,United States
US-86963,Raleigh,North Carolina,27604,South,United States
US-65985,Jackson,Mississippi,39212,South,United States
UC-80146,Lakeville,Minnesota,55044,Central,United States
UC-65703,Dallas,Texas,75217,Central,United States
UW-54148,Burbank,California,91505,West,United States
UW-40512,San Francisco,California,94110,West,United States
US-83311,Lakeland,Florida,33801,South,United States
US-53071,Asheville,North Carolina,28806,South,United States
US-79677,Knoxville,Tennessee,37918,South,United States
UE-90483,Hamilton,Ohio,45011,East,United States
US-01545,Greensboro,North Carolina,27405,South,United States
UC-42487,Portage,Indiana,46368,Central,United States
UW-46144,Tucson,Arizona,85705,West,United States
US-71001,Delray Beach,Florida,33445,South,United States
UW-64195,Los Angeles,California,90036,West,United States
UW-95274,Fresno,California,93727,West,United States
UW-66217,Pomona,California,91767,West,United States
UW-58802,San Francisco,California,94122,West,United States
UE-78028,Springfield,Ohio,45503,East,United States
UC-51207,Des Moines,Iowa,50315,Central,United States
UW-71309,Albuquerque,New Mexico,87105,West,United States
UC-54604,Plano,Texas,75023,Central,United States
UE-75349,Long Beach,New York,11561,East,United States
UC-35535,Apple Valley,Minnesota,55124,Central,United States
UC-71539,Brownsville,Texas,78521,Central,United States
UC-62125,Chicago,Illinois,60610,Central,United States
UE-09933,Revere,Massachusetts,2151,East,United States
UW-59338,Vallejo,California,94591,West,United States
US-81995,Virginia Beach,Virginia,23464,South,United States
UW-04197,Los Angeles,California,90008,West,United States
UC-74987,Detroit,Michigan,48205,Central,United States
US-95872,Lafayette,Louisiana,70506,South,United States
UC-02874,Dearborn Heights,Michigan,48127,Central,United States
UC-41976,Decatur,Illinois,62521,Central,United States
